Date,Stock,Güncel Fiyat,Gelecek 3 Aylık %,Gelecek 1 Yıllık %,Gelecek 6 Aylık %,Gelecek 1 Aylık %,Gelecek 1 Haftalık %,Gelecek 1 Günlük %
2007-01-01,No Stocks Captured,,,,,,,
2007-01-02,No Stocks Captured,,,,,,,
2007-01-03,No Stocks Captured,,,,,,,
2007-01-04,No Stocks Captured,,,,,,,
2007-01-05,No Stocks Captured,,,,,,,
2007-01-08,No Stocks Captured,,,,,,,
2007-01-09,No Stocks Captured,,,,,,,
2007-01-10,No Stocks Captured,,,,,,,
2007-01-11,No Stocks Captured,,,,,,,
2007-01-12,No Stocks Captured,,,,,,,
2007-01-15,No Stocks Captured,,,,,,,
2007-01-16,No Stocks Captured,,,,,,,
2007-01-17,No Stocks Captured,,,,,,,
2007-01-18,No Stocks Captured,,,,,,,
2007-01-19,No Stocks Captured,,,,,,,
2007-01-22,No Stocks Captured,,,,,,,
2007-01-23,No Stocks Captured,,,,,,,
2007-01-24,No Stocks Captured,,,,,,,
2007-01-25,No Stocks Captured,,,,,,,
2007-01-26,BAC-PE,25.9,-0.62,-22.97,-1.54,0.04,-0.77,-1.35
2007-01-29,No Stocks Captured,,,,,,,
2007-01-30,No Stocks Captured,,,,,,,
2007-01-31,No Stocks Captured,,,,,,,
2007-02-01,No Stocks Captured,,,,,,,
2007-02-02,No Stocks Captured,,,,,,,
2007-02-05,No Stocks Captured,,,,,,,
2007-02-06,No Stocks Captured,,,,,,,
2007-02-07,No Stocks Captured,,,,,,,
2007-02-08,No Stocks Captured,,,,,,,
2007-02-09,BAC-PE,25.75,-1.55,-22.87,-4.12,0.19,-0.19,-0.0
2007-02-12,BAC-PE,25.75,-1.44,-22.95,-4.85,0.19,-0.19,0.19
2007-02-13,No Stocks Captured,,,,,,,
2007-02-14,No Stocks Captured,,,,,,,
2007-02-15,No Stocks Captured,,,,,,,
2007-02-16,No Stocks Captured,,,,,,,
2007-02-19,No Stocks Captured,,,,,,,
2007-02-20,No Stocks Captured,,,,,,,
2007-02-21,No Stocks Captured,,,,,,,
2007-02-22,TPL,16.3,-7.16,-29.82,14.21,-2.25,-2.45,1.84
2007-02-23,No Stocks Captured,,,,,,,
2007-02-26,No Stocks Captured,,,,,,,
2007-02-27,No Stocks Captured,,,,,,,
2007-02-28,No Stocks Captured,,,,,,,
2007-03-01,No Stocks Captured,,,,,,,
2007-03-02,TPL,16.0,-12.06,-23.54,-0.0,1.04,-1.67,-1.35
2007-03-05,No Stocks Captured,,,,,,,
2007-03-06,TPL,15.53,-6.66,-23.82,12.21,5.58,2.58,-0.86
2007-03-07,TPL,15.4,-2.6,-24.33,13.1,6.21,2.6,0.43
2007-03-08,TPL,15.47,-1.08,-26.08,15.78,6.47,4.31,1.72
2007-03-09,TPL,15.73,-4.03,-24.34,12.27,4.66,2.97,1.69
2007-03-12,No Stocks Captured,,,,,,,
2007-03-13,ICE,25.8,15.31,6.42,4.57,-0.82,0.68,2.26
2007-03-14,No Stocks Captured,,,,,,,
2007-03-15,No Stocks Captured,,,,,,,
2007-03-16,No Stocks Captured,,,,,,,
2007-03-19,No Stocks Captured,,,,,,,
2007-03-20,SPG-PJ,71.5,-3.22,-10.49,-9.86,-2.17,-0.7,-0.0
2007-03-21,SPG-PJ,71.5,-3.22,-11.75,-10.21,-2.21,0.7,-0.0
2007-03-22,No Stocks Captured,,,,,,,
2007-03-23,No Stocks Captured,,,,,,,
2007-03-26,TAP-A,45.19,2.9,17.5,-0.42,5.69,6.41,-0.0
2007-03-27,TAP-A,45.19,2.9,18.34,-0.42,5.69,8.33,2.59
2007-03-28,No Stocks Captured,,,,,,,
2007-03-29,No Stocks Captured,,,,,,,
2007-03-30,No Stocks Captured,,,,,,,
2007-04-02,No Stocks Captured,,,,,,,
2007-04-03,No Stocks Captured,,,,,,,
2007-04-04,TAP,47.25,-4.48,14.16,4.58,0.13,0.71,0.41
2007-04-05,No Stocks Captured,,,,,,,
2007-04-06,No Stocks Captured,,,,,,,
2007-04-09,No Stocks Captured,,,,,,,
2007-04-10,No Stocks Captured,,,,,,,
2007-04-11,No Stocks Captured,,,,,,,
2007-04-12,BB,44.7,61.22,169.98,123.4,13.07,-1.2,-1.01
2007-04-12,TAP-A,47.44,-4.09,13.41,5.35,1.18,0.67,-0.0
